player_name,season_label,season_year,gleague_teams,nba_teams,callup_dates,contract_type,times_called_up
Jordan Bell,2020-21,2021,"['Capital City Go-Go', 'Erie BayHawks']","['Washington Wizards', 'Golden State Warriors']","['01-23-2021', '04-14-2021', '05-13-2021']","['10-Day', '10-Day', 'Two-Way']",3
Jordan Bell,2021-22,2021,['Santa Cruz Warriors'],['Chicago Bulls'],['12-30-2021'],['10-Day'],1
Jordan Goodwin,2021-22,2021,['Capital City Go-Go'],['Washington Wizards'],['12-26-2021'],['10-Day'],1
Jordan Goodwin,2024-25,2024,['South Bay Lakers'],['Los Angeles Lakers'],['02-07-2025'],['Two-Way'],1
Jordan Hall,2022-23,2022,['Austin Spurs'],['San Antonio Spurs'],['11-02-2022'],['Standard'],1
Jordan Schakel,2021-22,2021,['Capital City Go-Go'],['Washington Wizards'],"['12-22-2021', '03-09-2022']","['10-Day', 'Two-Way']",2
Jr. Chaundee Brown,2021-22,2021,['South Bay Lakers'],['Atlanta Hawks'],['04-09-2022'],['Two-Way'],1
Juan Toscano-Anderson,2019-20,2019,['Santa Cruz Warriors'],['Golden State Warriors'],['02-07-2020'],['Standard'],1
Juan Toscano-Anderson,2023-24,2023,['Mexico City Capitanes'],['Sacramento Kings'],['12-15-2023'],['Standard'],1
Jules Bernard,2023-24,2023,['Capital City Go-Go'],['Washington Wizards'],['12-08-2023'],['Two-Way'],1
Justin Anderson,2019-20,2019,['Raptors 905'],['Brooklyn Nets'],['01-06-2020'],['10-Day'],1
Justin Anderson,2021-22,2021,['Fort Wayne Mad Ants'],"['Cleveland Cavaliers', 'Indiana Pacers']","['12-21-2021', '03-17-2022']","['10-Day', '10-Day']",2
Justin Champagnie,2022-23,2022,['Sioux Falls Skyforce'],['Boston Celtics'],['04-08-2023'],['Standard'],1
Justin Champagnie,2023-24,2023,['Sioux Falls Skyforce'],['Washington Wizards'],['02-22-2024'],['10-Day'],1
Justin Jackson,2021-22,2021,['Texas Legends'],"['Boston Celtics', 'Phoenix Suns']","['12-18-2021', '01-04-2022', '02-02-2022']","['10-Day', '10-Day', '10-Day']",3
Justin Jackson,2023-24,2023,['Texas Legends'],['Minnesota Timberwolves'],['02-22-2024'],['10-Day'],1
Justin James,2021-22,2021,['Cleveland Charge'],['New Orleans Pelicans'],['12-26-2021'],['10-Day'],1
Justin Minaya,2022-23,2022,['Mexico City Capitanes'],['Portland Trail Blazers'],['04-04-2023'],['Standard'],1
Justin Patton,2020-21,2021,['Westchester Knicks'],['Houston Rockets'],['02-19-2021'],['Two-Way'],1
Justin Robinson,2020-21,2021,['Delaware Blue Coats'],['Oklahoma City Thunder'],['04-05-2021'],['10-Day'],1
Justin Tillman,2021-22,2021,['College Park Skyhawks'],['Atlanta Hawks'],['12-27-2021'],['10-Day'],1
Justise Winslow,2023-24,2023,['Raptors 905'],['Toronto Raptors'],['02-10-2024'],['10-Day'],1
Juwan Morgan,2019-20,2019,['Salt Lake City Stars'],['Utah Jazz'],['11-21-2019'],['Standard'],1
Juwan Morgan,2021-22,2021,['Maine Celtics'],"['Toronto Raptors', 'Boston Celtics']","['12-23-2021', '03-28-2022']","['10-Day', '10-Day']",2
Keaton Wallace,2022-23,2022,['Ontario Clippers'],['LA Clippers'],['02-21-2023'],['Two-Way'],1
Keifer Sykes,2021-22,2021,['Fort Wayne Mad Ants'],['Indiana Pacers'],['12-26-2021'],['Standard'],1
Keion Brooks Jr.,2024-25,2024,['Birmingham Squadron'],['New Orleans Pelicans'],['01-09-2025'],['Two-Way'],1
Kendall Brown,2024-25,2024,['Long Island Nets'],['Brooklyn Nets'],['02-25-2025'],['Two-Way'],1
Kenny Wooten,2019-20,2019,['Westchester Knicks'],['New York Knicks'],['01-14-2020'],['Two-Way'],1
Kevin Hervey,2019-20,2019,['Oklahoma City Blue'],['Oklahoma City Thunder'],['12-12-2019'],['Two-Way'],1
Kevin Knox II,2023-24,2023,['Rip City Remix'],['Detroit Pistons'],['11-08-2023'],['Standard'],1
Kevin Knox II,2024-25,2024,['Santa Cruz Warriors'],['Golden State Warriors'],"['02-19-2025', '03-23-2025']","['10-Day', 'Standard']",2
Kevon Harris,2024-25,2024,['College Park Skyhawks'],['Atlanta Hawks'],['03-01-2025'],['10-Day'],1
Khyri Thomas,2020-21,2021,['Austin Spurs'],['Houston Rockets'],['05-07-2021'],['10-Day'],1
Killian Hayes,2024-25,2024,['Long Island Nets'],['Brooklyn Nets'],['02-20-2025'],['10-Day'],1
Kobi Simmons,2022-23,2022,['Greensboro Swarm'],['Charlotte Hornets'],['03-30-2023'],['Two-Way'],1
Kobi Simmons,2023-24,2023,['Raptors 905'],['Toronto Raptors'],['03-25-2024'],['10-Day'],1
Kris Dunn,2021-22,2021,['Agua Caliente Clippers'],['Portland Trail Blazers'],['03-14-2022'],['10-Day'],1
Kris Dunn,2022-23,2022,['Capital City Go-Go'],['Utah Jazz'],['02-22-2023'],['10-Day'],1
Kyle Alexander,2019-20,2019,['Sioux Falls Skyforce'],['Miami Heat'],['01-15-2020'],['Two-Way'],1
