player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Jahmir Young,Grand Rapids Gold,Chicago Bulls,2025-02-19,Two-Way,2024-25,2024
Jaime Echenique,Capital City Go-Go,Washington Wizards,2021-12-30,10-Day,2021-22,2021
Jalen Crutcher,Birmingham Squadron,New Orleans Pelicans,2024-02-22,10-Day,2023-24,2023
Jalen Crutcher,Birmingham Squadron,New Orleans Pelicans,2025-02-26,Two-Way,2024-25,2024
Jalen McDaniels,Capital City Go-Go,Washington Wizards,2025-02-22,10-Day,2024-25,2024
Jamaree Bouyea,Sioux Falls Skyforce,Miami Heat,2023-02-08,10-Day,2022-23,2022
Jamaree Bouyea,Sioux Falls Skyforce,Washington Wizards,2023-03-03,10-Day,2022-23,2022
Jamaree Bouyea,Sioux Falls Skyforce,Portland Trail Blazers,2023-11-12,Two-Way,2023-24,2023
Jamaree Bouyea,Sioux Falls Skyforce,San Antonio Spurs,2024-03-02,Two-Way,2023-24,2023
Jamaree Bouyea,Austin Spurs,Milwaukee Bucks,2025-03-05,Two-Way,2024-25,2024
Jared Butler,Grand Rapids Gold,Oklahoma City Thunder,2023-03-03,Two-Way,2022-23,2022
Jared Harper,Birmingham Squadron,New Orleans Pelicans,2021-12-21,Two-Way,2021-22,2021
Jared Harper,Birmingham Squadron,New Orleans Pelicans,2022-03-29,Two-Way,2021-22,2021
Jared Rhoden,College Park Skyhawks,Detroit Pistons,2022-12-26,Two-Way,2022-23,2022
Jared Rhoden,Raptors 905,Toronto Raptors,2025-02-19,10-Day,2024-25,2024
Jared Rhoden,Raptors 905,Toronto Raptors,2025-03-04,Two-Way,2024-25,2024
Jarrod Uthoff,Memphis Hustle,Memphis Grizzlies,2020-02-27,10-Day,2019-20,2019
Jarron Cumberland,Delaware Blue Coats,Portland Trail Blazers,2021-12-26,10-Day,2021-22,2021
Jason Preston,Memphis Hustle,Utah Jazz,2024-01-09,Two-Way,2023-24,2023
Javante McCoy,Motor City Cruise,Detroit Pistons,2024-12-15,Standard,2024-25,2024
Javin DeLaurier,Wisconsin Herd,Milwaukee Bucks,2021-12-23,10-Day,2021-22,2021
Javonte Green,Santa Cruz Warriors,Chicago Bulls,2024-03-23,10-Day,2023-24,2023
Javonte Smart,Sioux Falls Skyforce,Milwaukee Bucks,2021-11-30,Two-Way,2021-22,2021
Javonte Smart,Sioux Falls Skyforce,Miami Heat,2022-02-15,Two-Way,2021-22,2021
Jay Huff,South Bay Lakers,Washington Wizards,2023-03-01,Two-Way,2022-23,2022
Jay Scrubb,Lakeland Magic,Orlando Magic,2023-03-24,Two-Way,2022-23,2022
Jaylen Hoard,Oklahoma City Blue,Oklahoma City Thunder,2021-04-05,Two-Way,2020-21,2021
Jaylen Hoard,Oklahoma City Blue,Oklahoma City Thunder,2021-12-28,10-Day,2021-22,2021
Jaylen Hoard,Oklahoma City Blue,Oklahoma City Thunder,2022-04-01,10-Day,2021-22,2021
Jaylen Martin,Westchester Knicks,New York Knicks,2023-11-27,Two-Way,2023-24,2023
Jaylen Martin,Westchester Knicks,Brooklyn Nets,2024-02-21,Two-Way,2023-24,2023
Jaylen Martin,Delaware Blue Coats,Washington Wizards,2025-02-08,Two-Way,2024-25,2024
Jaylen Morris,Austin Spurs,San Antonio Spurs,2022-01-01,10-Day,2021-22,2021
Jaylen Nowell,Stockton Kings,Memphis Grizzlies,2023-11-24,10-Day,2023-24,2023
Jaylen Nowell,Stockton Kings,Detroit Pistons,2024-04-03,10-Day,2023-24,2023
Jaylen Nowell,Capital City Go-Go,New Orleans Pelicans,2024-11-03,Standard,2024-25,2024
Jaylen Nowell,Capital City Go-Go,Washington Wizards,2025-02-08,10-Day,2024-25,2024
Jaylen Sims,Greensboro Swarm,Charlotte Hornets,2025-04-03,10-Day,2024-25,2024
