Date,Player,Active,Team,Type,date,season,player_name,nba_team,contract_type
02/20/16,"Stepheson, Alex",,Los Angeles Clippers,Two 10-day contracts (only 1st date is shown),2016-02-20,2015-16,"Stepheson, Alex",Los Angeles Clippers,Two 10-day contracts (only 1st date is shown)
02/05/16,"Johnson, Orlando",,Phoenix Suns,10-day contract,2016-02-05,2015-16,"Johnson, Orlando",Phoenix Suns,10-day contract
01/29/16,"McRae, Jordan",,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2016-01-29,2015-16,"McRae, Jordan",Phoenix Suns,Two 10-day contracts (only 1st date is shown)
01/29/16,"Antetokounmpo, Thanasis",,New York Knicks,10-day contract,2016-01-29,2015-16,"Antetokounmpo, Thanasis",New York Knicks,10-day contract
01/26/16,"Green, Erick",,Utah Jazz,Two 10-day contracts (only 1st date is shown),2016-01-26,2015-16,"Green, Erick",Utah Jazz,Two 10-day contracts (only 1st date is shown)
01/23/16,"Ayres, Jeff",,Los Angeles Clippers,Two 10-day contracts followed by signing for the rest of season,2016-01-23,2015-16,"Ayres, Jeff",Los Angeles Clippers,Two 10-day contracts followed by signing for the rest of season
01/21/16,"Dejean-Jones, Bryce",,New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season,2016-01-21,2015-16,"Dejean-Jones, Bryce",New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season
01/21/16,"Jefferson, Cory",,Phoenix Suns,10-day contract,2016-01-21,2015-16,"Jefferson, Cory",Phoenix Suns,10-day contract
01/21/16,"Hollins, Ryan",,Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season,2016-01-21,2015-16,"Hollins, Ryan",Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season
01/18/16,"Appling, Keith",,Orlando Magic,Two 10-day contracts (only 1st date is shown),2016-01-18,2015-16,"Appling, Keith",Orlando Magic,Two 10-day contracts (only 1st date is shown)
01/16/16,"O'Brien, J.J.",,Utah Jazz,10-day contract,2016-01-16,2015-16,"O'Brien, J.J.",Utah Jazz,10-day contract
01/12/16,"Kilpatrick, Sean",,Denver Nuggets,Two 10-day contracts (only 1st date is shown),2016-01-12,2015-16,"Kilpatrick, Sean",Denver Nuggets,Two 10-day contracts (only 1st date is shown)
01/08/16,"Williams, Elliot",,Memphis Grizzlies,10-day contract,2016-01-08,2015-16,"Williams, Elliot",Memphis Grizzlies,10-day contract
01/08/16,"Brown, Lorenzo",,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2016-01-08,2015-16,"Brown, Lorenzo",Phoenix Suns,Two 10-day contracts (only 1st date is shown)
04/03/15,"Buycks, Dwight",,Los Angeles Lakers,10-day contract,2015-04-03,2014-15,"Buycks, Dwight",Los Angeles Lakers,10-day contract
04/02/15,"Bhullar, Sim",,Sacramento Kings,10-day contract,2015-04-02,2014-15,"Bhullar, Sim",Sacramento Kings,10-day contract
04/01/15,"McNeal, Jerel",,Phoenix Suns,10-day contract followed by signing for the rest of season,2015-04-01,2014-15,"McNeal, Jerel",Phoenix Suns,10-day contract followed by signing for the rest of season
03/29/15,"Hudson, Lester",,Los Angeles Clippers,10-day contract followed by signing for the rest of season,2015-03-29,2014-15,"Hudson, Lester",Los Angeles Clippers,10-day contract followed by signing for the rest of season
03/27/15,"Clark, Earl",,Brooklyn Nets,10-day contract followed by signing for the rest of season,2015-03-27,2014-15,"Clark, Earl",Brooklyn Nets,10-day contract followed by signing for the rest of season
